example_id                                                                | status  | run_time        |
------------------------------------------------------------------------- | ------- | --------------- |
./spec/hanamimastery/utils/pagination_spec.rb[1:1:1]                      | passed  | 0.00858 seconds |
./spec/hanamimastery/utils/pagination_spec.rb[1:1:2]                      | passed  | 0.02821 seconds |
./spec/hanamimastery/utils/pagination_spec.rb[1:1:3]                      | passed  | 0.00941 seconds |
./spec/hanamimastery/utils/pagination_spec.rb[1:2:1]                      | passed  | 0.00873 seconds |
./spec/hanamimastery/utils/pagination_spec.rb[1:2:2]                      | passed  | 0.00986 seconds |
./spec/hanamimastery/utils/pagination_spec.rb[1:2:3]                      | passed  | 0.00835 seconds |
./spec/hanamimastery/utils/pagination_spec.rb[1:2:4]                      | passed  | 0.01053 seconds |
./spec/hanamimastery/utils/pagination_spec.rb[1:2:5]                      | passed  | 0.0089 seconds  |
./spec/hanamimastery/utils/pagination_spec.rb[1:2:6:1]                    | passed  | 0.01158 seconds |
./spec/requests/root_spec.rb[1:1]                                         | passed  | 0.19023 seconds |
./spec/slices/main/entities/episode_spec.rb[1:1:1]                        | passed  | 0.01361 seconds |
./spec/slices/main/entities/episode_spec.rb[1:2:1]                        | passed  | 0.01369 seconds |
./spec/slices/main/entities/episode_spec.rb[1:3:1:1]                      | passed  | 0.01551 seconds |
./spec/slices/main/entities/episode_spec.rb[1:3:2:1]                      | passed  | 0.01418 seconds |
./spec/slices/main/entities/episode_spec.rb[1:4:1:1]                      | passed  | 0.01407 seconds |
./spec/slices/main/entities/episode_spec.rb[1:4:2:1]                      | passed  | 0.0141 seconds  |
./spec/slices/main/entities/episode_spec.rb[1:4:3:1]                      | passed  | 0.01671 seconds |
./spec/slices/main/features/episodes/preview_different_views_spec.rb[1:1] | passed  | 0.02072 seconds |
./spec/slices/main/features/episodes/preview_different_views_spec.rb[1:2] | failed  | 1.62 seconds    |
./spec/slices/main/features/register_account_spec.rb[1:1]                 | failed  | 0.03889 seconds |
./spec/slices/main/features/register_account_spec.rb[1:2]                 | failed  | 0.08188 seconds |
./spec/slices/main/features/register_account_spec.rb[1:3]                 | failed  | 0.01704 seconds |
./spec/slices/main/interactors/fetch_draft_episodes_spec.rb[1:1:1]        | passed  | 0.01136 seconds |
./spec/slices/main/interactors/refresh_episode_spec.rb[1:1:1:1]           | passed  | 0.03914 seconds |
./spec/slices/main/interactors/refresh_episode_spec.rb[1:1:2:1]           | passed  | 0.01733 seconds |
./spec/slices/main/interactors/refresh_episode_spec.rb[1:1:3:1]           | passed  | 0.02058 seconds |
./spec/slices/main/interactors/refresh_episode_spec.rb[1:1:4:1]           | pending | 0.01103 seconds |
./spec/slices/main/interactors/refresh_episode_spec.rb[1:1:5:1]           | pending | 0.01452 seconds |
./spec/slices/main/repositories/episodes_spec.rb[1:1:1]                   | passed  | 0.03476 seconds |
./spec/slices/main/repositories/episodes_spec.rb[1:1:2]                   | passed  | 0.0253 seconds  |
./spec/slices/main/repositories/episodes_spec.rb[1:2:1]                   | passed  | 0.03933 seconds |
./spec/slices/main/repositories/episodes_spec.rb[1:3:1]                   | passed  | 0.0291 seconds  |
./spec/slices/main/repositories/episodes_spec.rb[1:4:1]                   | passed  | 0.04344 seconds |
./spec/slices/main/routes/episodes_spec.rb[1:1]                           | passed  | 0.00889 seconds |
./spec/slices/main/routes/episodes_spec.rb[1:2]                           | passed  | 0.01006 seconds |
./spec/slices/main/routes/episodes_spec.rb[1:3]                           | passed  | 0.00901 seconds |
./spec/slices/main/routes/episodes_spec.rb[1:4]                           | passed  | 0.06191 seconds |
./spec/slices/main/routes/episodes_spec.rb[1:5]                           | passed  | 0.00877 seconds |
./spec/slices/main/routes/registrations_spec.rb[1:1]                      | passed  | 0.00872 seconds |
./spec/slices/main/routes/registrations_spec.rb[1:2]                      | passed  | 0.01172 seconds |
./spec/slices/main/routes/sessions_spec.rb[1:1]                           | passed  | 0.00928 seconds |
./spec/slices/main/routes/sessions_spec.rb[1:2]                           | passed  | 0.00745 seconds |
./spec/slices/main/routes_spec.rb[1:1]                                    | passed  | 0.01 seconds    |
./spec/slices/main/routes_spec.rb[1:2]                                    | passed  | 0.00927 seconds |
./spec/slices/main/routes_spec.rb[1:3]                                    | passed  | 0.00978 seconds |
./spec/slices/main/routes_spec.rb[1:4]                                    | failed  | 0.02484 seconds |
./spec/slices/main/transformations/front_matter_to_db_spec.rb[1:1:1:1]    | passed  | 0.01484 seconds |
./spec/slices/main/transformations/front_matter_to_db_spec.rb[1:1:2:1]    | passed  | 0.00779 seconds |
./spec/slices/main/transformations/front_matter_to_db_spec.rb[1:1:3:1]    | passed  | 0.00873 seconds |
./spec/slices/main/transformations/front_matter_to_db_spec.rb[1:1:4:1]    | passed  | 0.00918 seconds |
./spec/slices/main/transformations/markdown/to_notion_spec.rb[1:1:1]      | passed  | 0.01149 seconds |
